Designator,Mid X,Mid Y,Layer,Rotation
C1,97.5000mm,-92.0000mm,Top,-90.000000
C2,104.0000mm,-84.5000mm,Top,0.000000
C3,111.0000mm,-92.0000mm,Top,-90.000000
C4,114.5000mm,-92.0000mm,Top,-90.000000
D1,93.0000mm,-88.0000mm,Top,180.000000
D2,117.0000mm,-88.0000mm,Top,180.000000
F1,86.0000mm,-88.0000mm,Top,0.000000
J1,63.0000mm,-90.0000mm,Top,90.000000
J2,76.0000mm,-90.0000mm,Top,90.000000
L1,108.0000mm,-88.0000mm,Top,0.000000
R1,63.0000mm,-86.0000mm,Top,90.000000
R2,66.5000mm,-86.0000mm,Top,-90.000000
R3,76.0000mm,-86.0000mm,Top,90.000000
R4,72.5000mm,-86.0000mm,Top,-90.000000
U1,63.0000mm,-80.8600mm,Top,90.000000
U2,101.0000mm,-88.0000mm,Top,0.000000
