Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0805_2012Metric","C_0805_2012Metric",97.500000,-92.000000,-90.000000,top
"C2","C_0603_1608Metric","C_0603_1608Metric",104.000000,-84.500000,0.000000,top
"C3","C_0805_2012Metric","C_0805_2012Metric",111.000000,-92.000000,-90.000000,top
"C4","C_0805_2012Metric","C_0805_2012Metric",114.500000,-92.000000,-90.000000,top
"D1","D_SMA","D_SMA",93.000000,-88.000000,180.000000,top
"D2","D_SMA","D_SMA",117.000000,-88.000000,180.000000,top
"F1","Fuse_1812_4532Metric","Fuse_1812_4532Metric",86.000000,-88.000000,0.000000,top
"J1","PinHeader_1x03_P2.54mm_Vertical","PinHeader_1x03_P2.54mm_Vertical",63.000000,-90.000000,90.000000,top
"J2","PinHeader_1x03_P2.54mm_Vertical","PinHeader_1x03_P2.54mm_Vertical",76.000000,-90.000000,90.000000,top
"L1","L_Sunlord_SWPA4030S","L_Sunlord_SWPA4030S",108.000000,-88.000000,0.000000,top
"R1","R_0603_1608Metric","R_0603_1608Metric",63.000000,-86.000000,90.000000,top
"R2","R_0603_1608Metric","R_0603_1608Metric",66.500000,-86.000000,-90.000000,top
"R3","R_0603_1608Metric","R_0603_1608Metric",76.000000,-86.000000,90.000000,top
"R4","R_0603_1608Metric","R_0603_1608Metric",72.500000,-86.000000,-90.000000,top
"U1","ESP32-S3-DevKitC","ESP32-S3-DevKitC",63.000000,-80.860000,90.000000,top
"U2","TSOT-23-6","TSOT-23-6",101.000000,-88.000000,0.000000,top
